ref_id,case_id,source_type,source_id,description,is_duplicate
REF00597,CASE0019,FIR,FIR000105,Case reference linking FIR record FIR000105 to investigative file.,false
REF00598,CASE0033,FIR,FIR000140,Case reference linking FIR record FIR000140 to investigative file.,false
REF00599,CASE0028,FIR,FIR000299,Case reference linking FIR record FIR000299 to investigative file.,false
REF00600,CASE0011,Surveillance,SR00098,Case reference linking Surveillance record SR00098 to investigative file.,false
REF-DUP0001,CASE0056,Transaction,TXN000641,Case reference linking Transaction record TXN000641 to investigative file. [duplicate source row],true
REF-DUP0002,CASE0049,Transaction,TXN002741,Case reference linking Transaction record TXN002741 to investigative file. [duplicate source row],true
REF-DUP0003,CASE0030,CDR,CDR003501,Case reference linking CDR record CDR003501 to investigative file. [duplicate source row],true
REF-DUP0004,CASE0043,CDR,CDR008051,Case reference linking CDR record CDR008051 to investigative file. [duplicate source row],true
REF-DUP0005,CASE0039,CDR,CDR009276,Case reference linking CDR record CDR009276 to investigative file. [duplicate source row],true
REF-DUP0006,CASE0039,FIR,FIR000029,Case reference linking FIR record FIR000029 to investigative file. [duplicate source row],true
REF-DUP0007,CASE0036,FIR,FIR000235,Case reference linking FIR record FIR000235 to investigative file. [duplicate source row],true
REF-DUP0008,CASE0024,Transaction,TXN004521,Case reference linking Transaction record TXN004521 to investigative file. [duplicate source row],true
REF-DUP0009,CASE0016,Transaction,TXN001141,Case reference linking Transaction record TXN001141 to investigative file. [duplicate source row],true
REF-DUP0010,CASE0013,CDR,CDR006901,Case reference linking CDR record CDR006901 to investigative file. [duplicate source row],true
REF-DUP0011,CASE0017,Transaction,TXN004281,Case reference linking Transaction record TXN004281 to investigative file. [duplicate source row],true
REF-DUP0012,CASE0034,FIR,FIR000072,Case reference linking FIR record FIR000072 to investigative file. [duplicate source row],true
REF-DUP0013,CASE0025,Transaction,TXN004261,Case reference linking Transaction record TXN004261 to investigative file. [duplicate source row],true
REF-DUP0014,CASE0016,Surveillance,SR00132,Case reference linking Surveillance record SR00132 to investigative file. [duplicate source row],true
REF-DUP0015,CASE0013,Transaction,TXN002381,Case reference linking Transaction record TXN002381 to investigative file. [duplicate source row],true
REF-DUP0016,CASE0010,CDR,CDR002126,Case reference linking CDR record CDR002126 to investigative file. [duplicate source row],true
REF-DUP0017,CASE0013,CDR,CDR006901,Case reference linking CDR record CDR006901 to investigative file. [duplicate source row],true
REF-DUP0018,CASE0033,FIR,FIR000157,Case reference linking FIR record FIR000157 to investigative file. [duplicate source row],true
REF-DUP0019,CASE0029,CDR,CDR006051,Case reference linking CDR record CDR006051 to investigative file. [duplicate source row],true
REF-DUP0020,CASE0050,Transaction,TXN004261,Case reference linking Transaction record TXN004261 to investigative file. [duplicate source row],true
REF-DUP0021,CASE0045,Transaction,TXN003721,Case reference linking Transaction record TXN003721 to investigative file. [duplicate source row],true
REF-DUP0022,CASE0015,Transaction,TXN001881,Case reference linking Transaction record TXN001881 to investigative file. [duplicate source row],true
REF-DUP0023,CASE0010,CDR,CDR004976,Case reference linking CDR record CDR004976 to investigative file. [duplicate source row],true
REF-DUP0024,CASE0049,CDR,CDR005676,Case reference linking CDR record CDR005676 to investigative file. [duplicate source row],true
REF-DUP0025,CASE0049,Transaction,TXN002741,Case reference linking Transaction record TXN002741 to investigative file. [duplicate source row],true
REF-DUP0026,CASE0004,FIR,FIR000133,Case reference linking FIR record FIR000133 to investigative file. [duplicate source row],true
REF-DUP0027,CASE0058,CDR,CDR007626,Case reference linking CDR record CDR007626 to investigative file. [duplicate source row],true
REF-DUP0028,CASE0031,FIR,FIR000284,Case reference linking FIR record FIR000284 to investigative file. [duplicate source row],true
REF-DUP0029,CASE0057,FIR,FIR000173,Case reference linking FIR record FIR000173 to investigative file. [duplicate source row],true
REF-DUP0030,CASE0014,CDR,CDR003251,Case reference linking CDR record CDR003251 to investigative file. [duplicate source row],true
REF-DUP0031,CASE0024,Transaction,TXN004521,Case reference linking Transaction record TXN004521 to investigative file. [duplicate source row],true
REF-DUP0032,CASE0059,CDR,CDR000051,Case reference linking CDR record CDR000051 to investigative file. [duplicate source row],true
REF-DUP0033,CASE0048,FIR,FIR000274,Case reference linking FIR record FIR000274 to investigative file. [duplicate source row],true
REF-DUP0034,CASE0039,CDR,CDR003576,Case reference linking CDR record CDR003576 to investigative file. [duplicate source row],true
REF-DUP0035,CASE0054,CDR,CDR008476,Case reference linking CDR record CDR008476 to investigative file. [duplicate source row],true
REF-DUP0036,CASE0037,FIR,FIR000044,Case reference linking FIR record FIR000044 to investigative file. [duplicate source row],true
REF-DUP0037,CASE0013,CDR,CDR006901,Case reference linking CDR record CDR006901 to investigative file. [duplicate source row],true
REF-DUP0038,CASE0010,CDR,CDR002126,Case reference linking CDR record CDR002126 to investigative file. [duplicate source row],true
REF-DUP0039,CASE0034,Surveillance,SR00119,Case reference linking Surveillance record SR00119 to investigative file. [duplicate source row],true
REF-DUP0040,CASE0012,CDR,CDR007476,Case reference linking CDR record CDR007476 to investigative file. [duplicate source row],true
REF-DUP0041,CASE0050,FIR,FIR000278,Case reference linking FIR record FIR000278 to investigative file. [duplicate source row],true
REF-DUP0042,CASE0057,Transaction,TXN002781,Case reference linking Transaction record TXN002781 to investigative file. [duplicate source row],true
REF-DUP0043,CASE0035,FIR,FIR000075,Case reference linking FIR record FIR000075 to investigative file. [duplicate source row],true
REF-DUP0044,CASE0034,Transaction,TXN002601,Case reference linking Transaction record TXN002601 to investigative file. [duplicate source row],true
REF-DUP0045,CASE0012,Transaction,TXN001641,Case reference linking Transaction record TXN001641 to investigative file. [duplicate source row],true
REF-DUP0046,CASE0013,Surveillance,SR00141,Case reference linking Surveillance record SR00141 to investigative file. [duplicate source row],true
REF-DUP0047,CASE0039,FIR,FIR000029,Case reference linking FIR record FIR000029 to investigative file. [duplicate source row] [duplicate source row],true
REF-DUP0048,CASE0034,Transaction,TXN000741,Case reference linking Transaction record TXN000741 to investigative file. [duplicate source row],true
